epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,4938.05,0.33479,0.50418,0.3986,0.87007,0,0.95528,0.95564,0.98139,0.9157,0.96192,0.96013,0.98257,0.89683,0.32783,0.56863,0.42707,0.85986,0,0.000297081,0.000297081,0.000297081
39,5073.88,0.33691,0.50393,0.40103,0.87203,0,0.94868,0.94225,0.97545,0.9029,0.95615,0.94844,0.98102,0.88027,0.3654,0.59027,0.45085,0.87337,0,0.000275084,0.000275084,0.000275084
40,5209.01,0.32709,0.4844,0.39664,0.85382,0,0.94439,0.95569,0.97778,0.91334,0.95154,0.96221,0.97802,0.89167,0.32644,0.54611,0.43895,0.85346,0,0.000253086,0.000253086,0.000253086
41,5336.97,0.28983,0.44423,0.38063,0.83421,0,0.98278,0.93283,0.98358,0.91707,0.98514,0.93805,0.98071,0.89217,0.33461,0.55049,0.42428,0.85288,0,0.000231088,0.000231088,0.000231088
42,5463.59,0.27566,0.421,0.36349,0.82879,0,0.95558,0.95412,0.98009,0.91772,0.96013,0.95867,0.98022,0.89699,0.32905,0.5396,0.42409,0.85934,0,0.00020909,0.00020909,0.00020909
43,5591.07,0.25924,0.41848,0.35654,0.81909,0,0.96277,0.94412,0.97775,0.91477,0.96726,0.94867,0.98062,0.89351,0.32763,0.56477,0.43003,0.85243,0,0.000187092,0.000187092,0.000187092
44,5718.07,0.25669,0.4097,0.3476,0.82632,0,0.95922,0.94716,0.97631,0.91245,0.96335,0.95131,0.97864,0.89696,0.32788,0.54852,0.42273,0.85557,0,0.000165095,0.000165095,0.000165095
45,5844.69,0.25293,0.40277,0.344,0.82398,0,0.96301,0.9405,0.97988,0.91911,0.96759,0.94504,0.98064,0.89898,0.32449,0.53142,0.41509,0.85534,0,0.000143097,0.000143097,0.000143097
46,5970.41,0.25708,0.39728,0.34244,0.81292,0,0.94775,0.95596,0.97806,0.91961,0.9522,0.96051,0.97875,0.89648,0.32931,0.53879,0.41931,0.85683,0,0.000121099,0.000121099,0.000121099
47,6096.66,0.24847,0.38955,0.33488,0.81534,0,0.94787,0.95017,0.97857,0.91988,0.95466,0.95699,0.98142,0.90011,0.31101,0.51912,0.40778,0.85289,0,9.91012e-05,9.91012e-05,9.91012e-05
48,6222.02,0.24377,0.39719,0.33223,0.81538,0,0.96839,0.93275,0.97893,0.92399,0.97535,0.93957,0.98192,0.89958,0.32798,0.52134,0.4097,0.85617,0,7.71034e-05,7.71034e-05,7.71034e-05
49,6347.87,0.24295,0.38527,0.32428,0.81537,0,0.96965,0.92951,0.97845,0.92059,0.97638,0.93776,0.98183,0.89674,0.31667,0.5205,0.40444,0.85405,0,5.51056e-05,5.51056e-05,5.51056e-05
50,6474.25,0.2366,0.3849,0.32005,0.81269,0,0.95661,0.94533,0.97794,0.92128,0.96743,0.9463,0.9821,0.90169,0.30615,0.51273,0.39741,0.8535,0,3.31078e-05,3.31078e-05,3.31078e-05
